Name,Lat,Long
" Options Pregnancy Help Center
"," 35.9613
"," -83.1795
"
" Mulier Care- Pregnancy Help Center
"," 36.0997
"," -86.8303
"
" Cumberland Crisis Pregnancy Center
"," 36.3392
"," -86.5364
"
" Pregnancy Centers of Middle Tennessee
"," 35.7788
"," -86.9128
"
" Beating Hearts Help Center
"," 36.1082
"," -88.4907
"
" Tomorrow's Hope Pregnancy Center
"," 36.303
"," -88.3241
"
" Crossroads Pregnancy Clinic
"," 35.1536
"," -86.5695
"
" Hawkins County Pregnancy Help Center
"," 36.412
"," -82.9983
"
" Next Step Resources Center
"," 35.3685
"," -85.3855
"
" Hope Clinic for Women
"," 36.1537
"," -86.7977
"
" Open Door Pregnancy Center
"," 36.4935
"," -86.8741
"
" Catholic Charities of East Tennessee
"," 35.954
"," -83.9325
"
" Choices Resource Center
"," 36.0142
"," -84.2681
"
" Clean Heart Christian Ministries
"," 35.925
"," -85.4638
"
" Hope House Maternity Home and Crisis Pregnancy Resource Center
"," 36.5359
"," -82.5249
"
" Catholic Charities of East Tennessee
"," 36.3127
"," -82.3817
"
" Birth Choice Clinic
"," 35.9801
"," -88.9302
"
" FYI Clinic
"," 36.0536
"," -88.1174
"
" Crossroads Women's Clinic
"," 36.3789
"," -89.4862
"
" Women's Care Center of Sevier County
"," 35.8725
"," -83.7627
"
" Life Outreach Center Resources
"," 36.1064
"," -83.4854
"
" Birthright of Memphis
"," 35.1286
"," -89.951
"
" Door of Hope
"," 36.1582
"," -82.4035
"
" First Choice Pregnancy Counseling Center
"," 35.4853
"," -86.4332
"
" Pregnancy Help Center of Smith County
"," 36.2552
"," -85.9522
"
" Cumberland Crisis Pregnancy Center
"," 36.3063
"," -86.6074
"
" Lewisburg Pregnancy Resource Center
"," 35.4495
"," -86.79
"
" Bethany Christian Services
"," 36.3171
"," -82.3383
"
" Lutheran Social Services
"," 43.5777
"," -96.7194
"
" Black Hills Pregnancy Center
"," 44.0765
"," -103.184
"
" Birthright of Sioux Falls
"," 43.5479
"," -96.7167
"
" Birthright of Rapid City
"," 44.0664
"," -103.226
"
" Birthright of Pierre
"," 44.3683
"," -100.358
"
" Birthright of Brookings
"," 44.2963
"," -96.8237
"
" Option 1 Women's Health Center
"," 44.3057
"," -96.7685
"
" Planning Life
"," 43.5445
"," -96.7242
"
" Bella Pregnancy Resource Center
"," 44.4878
"," -103.858
"
" Alpha Center
"," 43.514
"," -96.7615
"
" Plus One Guidance Center
"," 44.3659
"," -98.2137
"
" LaVie Pregnancy Care Center
"," 33.9403
"," -81.3314
"
" The Pregnancy Center of Dillon County
"," 34.4181
"," -79.3674
"
" CrossRds Pregnancy Center
"," 34.2075
"," -82.1752
"
" DAZZ Orangeburg
"," 33.509
"," -80.8547
"
" Foothills Pregnancy Care Center
"," 34.6898
"," -82.8359
"
" Coastline Women's Center
"," 33.7186
"," -78.9392
"
" Birthright
"," 33.3742
"," -79.2975
"
" The Advocacy Center
"," 33.912
"," -80.3382
"
" Sumter Pregnancy Center
"," 33.9181
"," -80.3638
"
" Carolina Pregnancy Center
"," 34.9775
"," -81.9497
"
" Foothills Pregnancy Care Center
"," 34.6852
"," -82.9528
"
" Alpha Pregnancy Center
"," 32.9004
"," -80.0038
"
" Lifebridge
"," 34.2752
"," -81.6168
"
" Women's Enrichment Center
"," 34.7113
"," -80.766
"
" Pregnancy Center & Clinic
"," 32.216
"," -80.7007
"
" Piedmont Women's Center
"," 34.9464
"," -82.2141
"
" Piedmont Women's Center
"," 34.8084
"," -82.4216
"
" Cherokee Pregnancy Center Options Medical
"," 35.0597
"," -81.6744
"
" A Choice 2 M8k Crisis Pregnancy Care Center
"," 34.1959
"," -79.7885
"
" Hope Women's Center
"," 34.8419
"," -82.6433
"
" Coastline Women's Center
"," 33.8381
"," -79.059
"
" Daybreak LifecCare Center
"," 34.015
"," -81.0018
"
" Birthright
"," 34.0076
"," -81.024
"
" Palmetto Women's Center
"," 34.936
"," -81.0201
"
" Birthright
"," 34.7793
"," -82.3027
"
" Life Choices Pregnancy Care Center
"," 33.5009
"," -81.9061
"
" Lowcountry Pregnancy Center
"," 32.9381
"," -80.0514
"
" DAZZ Pregnancy & Sexuality Center
"," 32.7966
"," -79.9947
"
" Birthright
"," 32.8976
"," -80.1383
"
" Radiance Women's Center
"," 32.3799
"," -80.7234
"
" Anderson Pregnancy Care
"," 34.5026
"," -82.6545
"
" Life Choices Pregnancy Care Center
"," 33.5238
"," -81.7184
"
" Harmony Women's Care Center
"," 41.8024
"," -71.427
"
" Pregnancy Center of Westerly
"," 41.3811
"," -71.8252
"
" Mother of Life Center
"," 41.8237
"," -71.4309
"
" Mary's Shelter
"," 40.3198
"," -75.9512
"
" Real Alternatives
"," 40.3372
"," -76.7213
"
" New Life Care Center
"," 41.6309
"," -79.6765
"
" Catholic Charities
"," 40.6738
"," -76.2354
"
" Catholic Charities
"," 40.3177
"," -75.9325
"
" A Woman's Concern
"," 40.0417
"," -76.3021
"
" Care Net of Carbon County
"," 40.8632
"," -75.8159
"
" CrossRds Pregnancy Center
"," 40.4852
"," -78.0114
"
" Susquehanna Valley Pregnancy Services
"," 40.0341
"," -76.3073
"
" A Baby's Breath
"," 40.1344
"," -75.3809
"
" Community Women's Center of Philadelphia
"," 39.9477
"," -75.161
"
" Try Life Center
"," 40.5819
"," -79.7106
"
" Precious Life of Cambria County
"," 40.31
"," -78.8959
"
" Your Loving Choices Inc.
"," 41.0502
"," -76.2173
"
" Genesis of Pittsburgh
"," 40.5018
"," -80.0695
"
" Lifeline of Southwest PA
"," 40.4397
"," -80.0017
"
" Your Loving Choices Inc.
"," 41.1969
"," -76.3827
"
" Lifeline of Southwest PA
"," 40.6866
"," -80.1072
"
" Susquehanna Valley Pregnancy Services
"," 40.0001
"," -76.3555
"
" The Genesis Center of Allegheny County
"," 40.4981
"," -80.0505
"
" A Baby's Breath
"," 40.0451
"," -75.3874
"
" The Genesis Center of Washington County
"," 40.1681
"," -80.2426
"
" A Baby's Breath
"," 40.1986
"," -75.0846
"
" Alternatives. Yes
"," 40.0265
"," -79.5925
"
" Genesis Pregnancy Care Center
"," 40.2438
"," -75.6316
"
" Every Life Matters Pregnancy Support Services
"," 40.8252
"," -78.3528
"
" A Baby's Breath
"," 40.183
"," -75.4502
"
" Lifeline of Southwest PA
"," 40.1372
"," -79.8968
"
" Carlisle Area Family Life Center
"," 40.2043
"," -77.1885
"
" Boro Women & Family Services
"," 41.8737
"," -80.13
"
" Lifeline of Southwest PA
"," 40.866
"," -79.8955
"
" Lifeline of Southwest PA
"," 40.6949
"," -80.3051
"
" Birthright of Pittsburgh
"," 40.4495
"," -79.9501
"
" Birthright of Somerset
"," 40.0095
"," -79.0819
"
" Birthright of Pottstown
"," 40.2467
"," -75.6463
"
" Birthright of Philadelphia
"," 40.0772
"," -75.0854
"
" Birthright of Johnstown
"," 40.3198
"," -78.9186
"
" Birthright of Greensburg
"," 40.3042
"," -79.5445
"
" Birthright of Frackville
"," 40.7853
"," -76.2313
"
" Birthright of Coatesville
"," 39.9847
"," -75.8151
"
" Precious Life of Blair County
"," 40.5128
"," -78.4082
"
" Catholic Charities
"," 40.5915
"," -75.4565
"
" We Care Pregnancy Center
"," 40.9638
"," -79.0079
"
" Women's Care Center of Erie County Inc
"," 42.1262
"," -80.0826
"
" Women's Care Center of Erie County Inc
"," 41.8984
"," -79.8452
"
" Willow Women's Center
"," 41.3192
"," -80.4117
"
" Tri-State Pregnancy Center
"," 41.3306
"," -74.7856
"
" Women's Care Center of York Pennsylvania
"," 39.9548
"," -76.75
"
" My Choice Medical Clinic
"," 40.8602
"," -79.8979
"
" Morning Star
"," 40.2922
"," -76.8309
"
" Human Life Services
"," 39.9527
"," -76.7233
"
" The Women's Clinic
"," 40.3265
"," -80.0643
"
" ChoiceOne Pregnancy & Sexual Health Resource Centers
"," 40.1628
"," -74.8848
"
" Chester County Women's Services
"," 39.9588
"," -75.6071
"
" Chester County Women's Services
"," 39.853
"," -75.6977
"
" A Woman's Concern
"," 40.0484
"," -76.3061
"
" Expectations Women's Center
"," 41.238
"," -77.0194
"
" Women's Choice Network
"," 40.6404
"," -80.066
"
" Lifeline of Berks County Inc.
"," 40.3367
"," -75.9501
"
" PRC of Greater Hazleton
"," 40.9606
"," -75.9972
"
" PMI Pregnancy Resource Centers
"," 39.7533
"," -77.5837
"
" Women's Care Center
"," 41.8947
"," -79.1478
"
" Center of Hope
"," 39.9049
"," -79.7371
"
" Every Life Matters Pregnancy Support Services
"," 40.6752
"," -78.2383
"
" Care Net Pregnancy Center of NEPA
"," 41.5439
"," -75.9607
"
" Endless Mountains Pregancy Care Center
"," 41.7683
"," -76.4426
"
" Pregnancy Resource Center of the Poconos
"," 40.9981
"," -75.1821
"
" Pregnancy Resource Clinic
"," 40.7926
"," -77.8553
"
" Alpha Omega Center
"," 41.0629
"," -80.0547
"
" PMI Pregnancy Resource Centers
"," 40.052
"," -77.52
"
" PCC Corner of Hope Family Resource Center
"," 40.7856
"," -76.5589
"
" Care Net Pregnancy Center of Scranton
"," 41.4011
"," -75.6649
"
" Endless Mountains Pregnancy Care Center - First Look Ultrasound Clinic
"," 41.9823
"," -76.5167
"
" Mercy Community Crisis Pregnancy Center
"," 40.3335
"," -75.9278
"
" CrossRds Pregnancy Care
"," 40.4293
"," -75.3574
"
" Real Options Pregnancy Medical Resource Center
"," 40.6626
"," -76.2213
"
" Women's Choice Network
"," 40.4532
"," -80.0007
"
" Women's Choice Network
"," 40.4474
"," -79.9482
"
" HOPE Pregnancy Center
"," 39.9677
"," -75.1607
"
" AlphaCare
"," 39.9606
"," -75.1972
"
" Morning Star
"," 40.2287
"," -76.8673
"
" Alpha Omega Center
"," 41.0048
"," -80.3477
"
" CrossRds Pregnancy Center
"," 40.3838
"," -77.8833
"
" Care Net Pregnancy Center of NEPA
"," 41.8324
"," -75.8789
"
" Women's Choice Network
"," 40.4292
"," -79.7957
"
" Choices Pregnancy Services
"," 40.66
"," -80.3149
"
" Lifeline PCC
"," 40.54
"," -76.9574
"
" CrossRds Pregnancy Center
"," 40.571
"," -77.3972
"
" Morning Star
"," 40.1944
"," -76.7317
"
" Hope House
"," 40.3475
"," -79.8502
"
" CrossRds Pregnancy Center
"," 40.5886
"," -77.6004
"
" Expectations Women's Center
"," 40.9552
"," -76.9165
"
" Care Net of Carbon County
"," 40.8329
"," -75.7164
"
" Susquehanna Valley Pregnancy Services
"," 40.3372
"," -76.4241
"
" Life-Way Pregnancy Center
"," 40.3125
"," -79.3798
"
" North Care Women's Clinic
"," 40.2457
"," -75.2871
"
" Susquehanna Valley Pregnancy Services
"," 40.0402
"," -76.3134
"
" Life's Choices Kutztown
"," 40.5134
"," -75.7813
"
" My Choice Medical Clinic
"," 40.8136
"," -79.5513
"
" Pathways Unplanned Pregnancy Help Center
"," 41.2586
"," -75.8837
"
" My Choice Medical Clinic
"," 40.6153
"," -79.1622
"
" Life-Way Pregnancy Center
"," 40.6164
"," -79.1629
"
" Tender Care Pregnancy Consultation Services
"," 39.7944
"," -76.9698
"
" Life's Choices Hamburg
"," 40.5549
"," -75.9831
"
" PMI Pregnancy Resource Centers
"," 39.7897
"," -77.7276
"
" Tender Care Pregnancy Consultation Services
"," 39.8492
"," -77.178
"
" Pregnancy Rescources at Cornerstone
"," 39.9916
"," -76.0172
"
" ABC Life Center
"," 41.3982
"," -79.8313
"
" Women's Care Center of Erie County Inc
"," 42.0885
"," -80.0868
"
" Susquehanna Valley Pregnancy Services
"," 40.1798
"," -76.1793
"
" Bright Hope Pregnancy Support Centers
"," 40.6888
"," -75.2452
"
" Amnion Pregnancy Center
"," 39.951
"," -75.2835
"
" Life Care Pregnancy and Family Resource Center
"," 41.9228
"," -79.6417
"
" Choices Pregnancy Services
"," 40.5206
"," -80.1727
"
" Susquehanna Valley Pregnancy Services
"," 40.035
"," -76.5007
"
" Chester County Women's Services
"," 39.9862
"," -75.8045
"
" Next Step Pregnancy Solutions and Serivces
"," 41.2057
"," -79.3805
"
" Delaware County Pregnany Center
"," 39.8652
"," -75.3734
"
" PMI Pregnancy Resource Centers
"," 39.9365
"," -77.6567
"
" Endless Mountains Pregancy Care Center
"," 41.6542
"," -76.852
"
" Bright Hope Pregnancy Support Centers
"," 40.6223
"," -75.3649
"
" Life Choices Clinic
"," 40.228
"," -76.9267
"
" Bright Alternatives - The Center for New Hope
"," 41.9571
"," -78.646
"
" Your Loving Choices Inc.
"," 40.9953
"," -76.4526
"
" Bright Hope Pregnancy Support Centers
"," 40.6
"," -75.4793
"
" Columbia Pregnancy Center
"," 45.8636
"," -122.808
"
" Pregnancy Resource Centers of Central Oregon
"," 44.2674
"," -121.179
"
" Next Step Pregnancy Information Center
"," 45.315
"," -118.098
"
" Options Pregnancy Resource Centers
"," 44.5766
"," -123.277
"
" Pregnancy Care Center
"," 42.4341
"," -123.327
"
" Pregnancy Resource Center
"," 45.4977
"," -122.609
"
" Pregnancy Resource Center
"," 45.4838
"," -122.807
"
" Coos County PRC
"," 43.3688
"," -124.217
"
" Dove Medical
"," 44.0479
"," -123.085
"
" Pregnancy Resource Centers of Central Oregon
"," 44.3036
"," -120.851
"
" St Germaine Pregnancy Center
"," 44.9591
"," -122.985
"
" Pregnancy Resource Centers of Central Oregon
"," 44.0673
"," -121.301
"
" Pregnancy Care Center of Brookings
"," 42.052
"," -124.287
"
" Columbia Gorge Pregnancy Resource Centers
"," 45.6212
"," -121.213
"
" Pregnancy Center of the Illinois Valley
"," 42.1635
"," -123.647
"
" Pregnancy Care Services
"," 45.6727
"," -118.784
"
" Columbia Pregnancy Center
"," 46.0887
"," -122.939
"
" Coast Pregnancy Clinic
"," 46.1893
"," -123.837
"
" Hope Pregnancy Clinic
"," 44.9493
"," -123.003
"
" Pregnancy Hope Center
"," 42.2058
"," -121.756
"
" Birthright of Hillsboro Oregon
"," 45.5235
"," -122.987
"
" Rachel Pregnancy Center
"," 44.7764
"," -117.833
"
" The Pregnancy Center
"," 42.3664
"," -122.861
"
" Columbia Gorge Pregnancy Resource Centers
"," 45.6949
"," -121.524
"
" Birthright of Salem
"," 44.952
"," -122.983
"
" Options Pregnancy Resource Centers
"," 44.6264
"," -123.083
"
" Pregnancy Resource Center of Sandy & Estacada
"," 45.3983
"," -122.27
"
" A Salem Pregnancy Resource Center
"," 44.9537
"," -123.021
"
" HOPE Pregnancy Center
"," 44.0277
"," -116.971
"
" Pregnancy Care Centers
"," 45.2609
"," -122.692
"
" Pregnancy Counseling & Information Center
"," 45.3001
"," -122.962
"
" Pregnancy and Parenting Center
"," 43.9776
"," -124.105
"
" Mother & Child Education Center
"," 45.5341
"," -122.622
"
" Pregnancy Alternatives Center
"," 44.5407
"," -122.909
"
" Pregnancy Resource Center
"," 45.4287
"," -122.578
"
" Pregnancy Counseling & Information Center
"," 45.2427
"," -123.105
"
" Pregnancy Counseling & Information Center
"," 45.2118
"," -123.199
"
" 1st Way of Eugene
"," 44.0482
"," -123.01
"
" N'Lite Women's Clinic
"," 43.2052
"," -123.349
"
" Hope 360 Pregnancy Clinic
"," 45.3362
"," -122.604
"
" Pregnancy Resource Center of Sandy & Estacada
"," 45.2938
"," -122.335
"
" TruCare Pregnancy Resource Center
"," 45.8403
"," -119.293
"
" Pregnancy Resource Center
"," 45.5048
"," -122.433
"
" Crisis Pregnancy Outreach
"," 36.055
"," -95.89
"
" Compassion Pregnancy Center
"," 34.922
"," -95.7654
"
" We Care Pregnancy Resource Center
"," 33.8944
"," -94.8288
"
" Hope Crisis Pregnancy Center
"," 36.6966
"," -101.475
"
" Choices Pregnancy Center
"," 35.0801
"," -94.6292
"
" Charis Pregnancy Center
"," 34.5197
"," -97.9695
"
" Hillcrest Pregnancy Care Center
"," 36.1785
"," -95.959
"
" Agape Pregnancy Center of Okmulgee
"," 35.6238
"," -95.972
"
" Birthright of Tulsa
"," 36.0671
"," -95.9234
"
" Birthright of Stillwater
"," 36.1324
"," -97.0629
"
" Birthright of Bartlesville
"," 36.7496
"," -95.9692
"
" The Pregnancy Center Woodward
"," 36.4369
"," -99.3967
"
" Hugo Pregnancy Care Center
"," 34.0123
"," -95.5236
"
" Abundant Blessings Center
"," 36.5746
"," -94.7692
"
" Mend Medical Clinic and Pregnancy Resource Center
"," 36.0723
"," -95.9586
"
" Birth Choice of Norman
"," 35.2196
"," -97.4512
"
" Birth Choice of Bethany
"," 35.5326
"," -97.6362
"
" Birth Choice of Edmond
"," 35.6299
"," -97.4834
"
" Birth Choice of Oklahoma City
"," 35.4186
"," -97.5308
"
" Birth Choice of Lawton
"," 34.6084
"," -98.456
"
" Birth Choice of El Reno
"," 35.5306
"," -97.9574
"
" Gateway Express Testing
"," 35.5077
"," -97.7524
"
" First Choice Pregnancy Center
"," 35.533
"," -98.7081
"
" Hope Pregnancy Center Tulsa
"," 36.1331
"," -95.8306
"
" Stillwater Life Services
"," 36.1132
"," -97.0767
"
" Northeastern Oklahoma Hope Pregnancy Center
"," 36.3385
"," -95.3065
"
" Pregnancy Center of Ponca City
"," 36.7283
"," -97.0686
"
" Pregnancy Resource Center of Owasso
"," 36.2752
"," -95.8469
"
" Crossroads 23rd St Clinic
"," 35.4941
"," -97.5304
"
" Hope Pregnancy Center OKC South
"," 35.3831
"," -97.5476
"
" Hope Pregnancy Center OKC North
"," 35.5752
"," -97.5678
"
" The Eden Clinic
"," 35.2043
"," -97.4687
"
" Evany Clinic
"," 35.3929
"," -97.7245
"
" Pregnancy Resource Center
"," 35.7558
"," -95.4039
"
" The Eden Clinic
"," 35.4636
"," -97.4122
"
" Pregnancy Resource Center of Southwest Oklahoma
"," 34.6055
"," -98.3929
"
" Lighthouse Pregnancy Center
"," 36.4281
"," -94.7966
"
" Crossroads Guthrie Clinic
"," 35.8848
"," -97.3871
"
" Journey House
"," 36.3913
"," -97.9214
"
" Heart to Heart Pregnancy Clinic
"," 35.4061
"," -99.4216
"
" Edmond Pregnancy Resources
"," 35.6647
"," -97.4623
"
" Pregnancy Center of Bryan County
"," 33.9932
"," -96.3764
"
" Life Choices of Chickasha
"," 35.052
"," -97.9486
"
" The Cottage
"," 36.7447
"," -95.9784
"
" Hope Pregnancy Center of Southern Oklahoma
"," 34.1826
"," -97.125
"
" Pregnancy Support Center of Caddo County
"," 35.0711
"," -98.2503
"
" Life Services at Pathways Pregnancy Clinic
"," 34.6574
"," -99.3345
"
" House of Hope Pregnancy Center
"," 34.7732
"," -96.6717
"
" Pregnancy Resource Center on Court
"," 39.3279
"," -82.1015
"
" Pregnancy Center West
"," 39.1186
"," -84.599
"
" Miami Valley Women's Center
"," 39.8614
"," -84.1082
"
" Heartbeat of Lima
"," 40.7378
"," -84.107
"
" Pregnancy Solutions
"," 41.0144
"," -81.5535
"
" Oxford Women's Care Center
"," 39.5233
"," -84.765
"
" New Life Clinic
"," 39.4441
"," -83.8284
"
" Your First Look Women's Center
"," 41.6486
"," -83.5229
"
" Pregnancy Resource Clinic of Clark County
"," 39.9126
"," -83.8092
"
" Women's Resource Center of Hancock County
"," 41.0528
"," -83.6497
"
" Reach Out Pregnancy Center
"," 39.2439
"," -84.7788
"
" Family and Youth Initiative
"," 39.9241
"," -83.8287
"
" Hands of Hope Pregnancy Services
"," 41.1354
"," -84.6013
"
" Family Life Center of Auglaize County
"," 40.5432
"," -84.3886
"
" Akron Pregnancy Services
"," 41.0846
"," -81.5142
"
" Darke County Pregnancy Help Center
"," 40.1011
"," -84.6325
"
" Lifepointe Family Counseling Center
"," 39.8845
"," -83.4467
"
" Knox Starting Point
"," 40.3959
"," -82.4515
"
" CRADLE Pregnancy Care Center
"," 38.7339
"," -82.9911
"
" Women's Center - Sharonville
"," 39.2747
"," -84.4112
"
" Life Forward - Pregnancy Care of Cincinnati
"," 39.2812
"," -84.4555
"
" Voice of Hope Pregnancy Center
"," 40.8075
"," -82.9763
"
" Birthright of New Philadelphia
"," 40.5049
"," -81.4694
"
" Adams Co. Crisis Pregnancy Center
"," 38.7876
"," -83.5557
"
" Ashland Pregnancy Center
"," 40.8648
"," -82.2959
"
" Bella Women's Center
"," 41.2493
"," -80.7705
"
" Heartbeat Hope Medical Pregnancy Center
"," 41.1144
"," -83.1767
"
" Pregnancy Choices
"," 40.795
"," -81.5203
"
" Abigail Pregnancy Services
"," 41.0574
"," -82.7282
"
" Heartbeat Hope Medical Pregnancy Center
"," 41.3482
"," -83.1288
"
" Center of Hope Pregnancy Care Services
"," 40.5673
"," -81.9011
"
" Heartbeat of Columbiana County
"," 40.6195
"," -80.5811
"
" Voice of Hope Pregnancy Center
"," 40.8278
"," -83.28
"
" Southern Ohio Pregnancy Center
"," 39.2009
"," -83.6135
"
" Women's Center
"," 39.6889
"," -84.142
"
" Alternaterm
"," 41.5017
"," -81.5333
"
" Open Arms Pregnancy Center
"," 40.0234
"," -81.5846
"
" CPC Women's Health Resource
"," 41.4748
"," -84.5724
"
" Pregnancy Care Center of Wayne County
"," 40.7977
"," -81.941
"
" Birthright of Lakewod
"," 41.4849
"," -81.7986
"
" Elizabeth's Hope Pregnancy Resources
"," 39.0281
"," -82.6231
"
" CPC Women's Health Resource
"," 41.5732
"," -84.1299
"
" Richland Pregnancy Services
"," 40.7695
"," -82.5696
"
" Elizabeth's Hope Pregnancy Resources
"," 39.6043
"," -82.9456
"
" Pregnancy Decision Health Centers
"," 39.7142
"," -82.5693
"
" Community Pregnancy Center
"," 41.0154
"," -81.5989
"
" CPC Women's Health Resource
"," 41.4083
"," -84.1212
"
" Sophia Women's Center
"," 40.8793
"," -80.8417
"
" Heartbeat of Ottawa County
"," 41.5138
"," -82.9103
"
" CPC Women's Health Resource
"," 41.3118
"," -84.3588
"
" Caring Hands Pregnancy and Parenting Support
"," 41.1564
"," -83.4137
"
" Two Hearts Pregnancy Centers
"," 38.5013
"," -82.6488
"
" Birthright of Geauga
"," 41.5828
"," -81.21
"
" Birthright of Eaton
"," 39.7481
"," -84.6341
"
" Birthright of Elyria
"," 41.4184
"," -82.122
"
" PLC Health Clinic
"," 40.8712
"," -84.5811
"
" Elizabeth's Hope Pregnancy Resources
"," 39.1281
"," -82.9848
"
" Heartbeats
"," 39.9355
"," -82.0098
"
" Voice of Hope Pregnancy Center
"," 40.5883
"," -83.132
"
" Pregnancy Decision Health Centers
"," 40.0021
"," -83.0077
"
" Heartbeat of Hardin County
"," 40.647
"," -83.6058
"
" New Path Pregnancy Resource Centers
"," 40.4272
"," -83.2972
"
" Miami Valley Women's Center
"," 39.6954
"," -84.212
"
" Faith Baptist Wellness Center
"," 41.4947
"," -81.6513
"
" Pregnancy Center
"," 39.5353
"," -83.4365
"
" Life Forward - Pregnancy Care of Cincinnati
"," 39.1261
"," -84.5088
"
" Miami Valley Women's Center
"," 39.681
"," -83.9425
"
" Birthright of Columbus-Main
"," 39.9383
"," -83.0632
"
" AIM Women's Center
"," 40.3634
"," -80.6147
"
" Women's Center - Sidney
"," 40.2869
"," -84.1949
"
" Pregnancy Choices
"," 40.827
"," -81.3857
"
" Pregnancy Choices
"," 40.9958
"," -81.4927
"
" Alpha Pregnancy Help Center
"," 40.0812
"," -82.937
"
" Elizabeth's Hope Pregnancy Resources
"," 39.3348
"," -82.9919
"
" Sycamore House Pregnancy Center Of Champaign County
"," 40.1103
"," -83.7443
"
" Heartbeat of Lima
"," 40.7363
"," -84.1634
"
" The Women's Clinic of Columbus
"," 39.9569
"," -82.9115
"
" Women's Care Center
"," 39.9563
"," -82.9106
"
" Heartbeats
"," 40.0599
"," -82.3874
"
" Elizabeth's Hope Pregnancy Resources
"," 39.3489
"," -83.3837
"
" Elizabeth's New Life Center
"," 39.7705
"," -84.2016
"
" Cornerstone
"," 41.4001
"," -82.11
"
" Birthcare of Ashtabula County
"," 41.8713
"," -80.7916
"
" Community Pregnancy Center
"," 39.5002
"," -84.3648
"
" Abigail Pregnancy Services
"," 41.2481
"," -82.566
"
" Cleveland Pregnancy Center
"," 41.4806
"," -81.713
"
" Pregnancy Center East
"," 39.1514
"," -84.442
"
" Heartbeat of Toledo-Pregnancy Support Center
"," 41.6909
"," -83.6391
"
" Pregnancy Decision Health Centers
"," 39.9517
"," -83.111
"
" Pathway to Hope Pregnancy Care Center
"," 39.3966
"," -84.5649
"
" Oaks Family Care Center
"," 41.238
"," -81.8369
"
" Miami Valley Women's Center
"," 39.8045
"," -84.2355
"
" A Caring Place
"," 39.0991
"," -84.2997
"
" Pregnancy Choices
"," 40.8237
"," -81.427
"
" Birthright of Columbus
"," 40.0596
"," -83.0195
"
" Women's Center - East
"," 39.7602
"," -84.1275
"
" Pregnancy Help Center
"," 41.0502
"," -80.6622
"
" Mya Women's Center
"," 41.8698
"," -80.7867
"
" Pregnancy Resources of Delaware County
"," 40.3056
"," -83.0874
"
" Her Choice
"," 41.3785
"," -83.6431
"
" Womankind
"," 41.4158
"," -81.6168
"
" Choosing Life Pregnancy Center
"," 40.5587
"," -84.5793
"
" Birthright of Parma
"," 41.4033
"," -81.7455
"
" Pregnancy Decision Health Centers
"," 40.0925
"," -82.9501
"
" Coleman Pregnancy Center of Kent
"," 41.1531
"," -81.3272
"
" Heartbeat of Ottawa County
"," 41.5185
"," -83.3583
"
" Pregnancy Resources of Delaware County
"," 40.3073
"," -83.0907
"
" New Path Pregnancy Resource Centers
"," 40.3706
"," -83.759
"
" Oasis of Hop- Pregnancy & Parenting Support Center
"," 41.1464
"," -81.8636
"
" Heartbeat of Morrow County
"," 40.5515
"," -82.8493
"
" The Pregnancy Center
"," 41.647
"," -83.606
"
" Birthright of Mentor
"," 41.6593
"," -81.3829
"
" Women's Center - Lebanon
"," 39.4434
"," -84.1919
"
" Alliance Pregnancy Center
"," 40.9129
"," -81.1069
"
" New Path Pregnancy Resource Centers
"," 40.2356
"," -83.3791
"
" Pregnancy Resource Center - A Place of Hope
"," 38.8766
"," -83.9006
"
" Stowe Pregnancy Resource Center
"," 39.9453
"," -82.9825
"
" Women's Care Center
"," 39.9648
"," -82.9757
"
" Family and Youth Initiatives
"," 39.8326
"," -84.0166
"
" The Pregnancy Care Center of Oswego County
"," 43.318
"," -76.4335
"
" Life Options Center
"," 40.9397
"," -73.8907
"
" Life Options Center
"," 40.9401
"," -73.8908
"
" Abortos NYC
"," 40.7398
"," -73.922
"
" The Center for New Hope
"," 42.1228
"," -77.9489
"
" Embracing Options
"," 43.2122
"," -77.4242
"
" Care Net Pregnancy Center of Northern New York
"," 43.9717
"," -75.8993
"
" Birthright of Wantagh
"," 40.6953
"," -73.5078
"
" Birthright of Victor
"," 42.9894
"," -77.4175
"
" Pregnancy Resource Center
"," 42.0843
"," -76.0578
"
" Pregnancy Center of Central NY
"," 43.0858
"," -75.2635
"
" Pregnancy Center of Central NY
"," 43.0964
"," -75.2423
"
" SonRays Ministries
"," 42.9728
"," -78.7405
"
" Birthright of Syracuse
"," 43.0754
"," -76.1053
"
" New Hope Family Services
"," 43.0501
"," -76.1974
"
" New Hope Family Services
"," 43.07
"," -76.0981
"
" Crisis Pregnancy Center
"," 40.5515
"," -74.1486
"
" Pregnancy Resource Services
"," 40.6167
"," -74.1023
"
" Care Net Pregnancy Center of Rockland
"," 41.1051
"," -74.0321
"
" Good Counsel Cardinal Cooke Home
"," 41.1211
"," -74.0455
"
" Birthright of  Southold
"," 41.0639
"," -72.4297
"
" Birthright of Sidney
"," 42.3106
"," -75.3882
"
" Birthright of Schenectady
"," 42.8158
"," -73.9409
"
" Alpha Pregnancy Care Center Inc
"," 42.8027
"," -73.931
"
" Pregnancy Center of Central NY
"," 43.214
"," -75.4541
"
" Birthright of Rocky Point
"," 40.9491
"," -72.9245
"
" Birthright of Rochester
"," 43.1197
"," -77.4851
"
" Women's Care Center Inc.
"," 43.2292
"," -77.6263
"
